CustomerID,Lookalikes
C0001,"[('C0035', 0.9815), ('C0146', 0.9764), ('C0069', 0.9625)]"
C0002,"[('C0144', 0.9971), ('C0133', 0.9958), ('C0134', 0.9682)]"
C0003,"[('C0166', 0.9963), ('C0031', 0.9923), ('C0158', 0.9859)]"
C0004,"[('C0113', 0.9805), ('C0017', 0.9718), ('C0041', 0.9683)]"
C0005,"[('C0007', 0.9984), ('C0197', 0.9981), ('C0069', 0.9593)]"
C0006,"[('C0135', 0.995), ('C0147', 0.978), ('C0139', 0.9747)]"
C0007,"[('C0005', 0.9984), ('C0197', 0.9978), ('C0127', 0.9654)]"
C0008,"[('C0162', 0.99), ('C0039', 0.9897), ('C0182', 0.9822)]"
C0009,"[('C0092', 0.9515), ('C0198', 0.9501), ('C0040', 0.9435)]"
C0010,"[('C0176', 0.9911), ('C0077', 0.9782), ('C0061', 0.9752)]"
C0011,"[('C0126', 0.9935), ('C0027', 0.9818), ('C0094', 0.957)]"
C0012,"[('C0104', 0.9878), ('C0136', 0.9876), ('C0065', 0.9819)]"
C0013,"[('C0105', 0.9835), ('C0183', 0.9768), ('C0107', 0.9741)]"
C0014,"[('C0060', 0.9998), ('C0097', 0.9993), ('C0128', 0.9986)]"
C0015,"[('C0123', 0.9997), ('C0172', 0.9457), ('C0137', 0.9437)]"
C0016,"[('C0183', 0.9984), ('C0107', 0.9981), ('C0088', 0.9892)]"
C0017,"[('C0122', 0.9845), ('C0041', 0.9826), ('C0090', 0.9821)]"
C0018,"[('C0021', 0.9738), ('C0075', 0.9638), ('C0057', 0.9636)]"
C0019,"[('C0191', 0.9905), ('C0070', 0.9871), ('C0125', 0.9508)]"
C0020,"[('C0130', 0.999), ('C0120', 0.9736), ('C0069', 0.9088)]"
